id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
588408;19/03/2024;terça-feira;18:40:00;ES;101;287;CARIACICA;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Fatais;Anoitecer;Crescente;Céu Claro;Dupla;"Reta;Retorno Regulamentado";Sim;4;1;0;0;2;1;0;4;-20,26493528;-40,38471702;SPRF-ES;DEL01-ES;UOP01-DEL01-ES
588410;19/03/2024;terça-feira;10:00:00;RO;364;441;JARU;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;"Reta;Em Obras";Não;2;0;0;1;1;0;1;2;-10,34928269;-62,58865075;SPRF-RO;DEL03-RO;UOP02-DEL03-RO
588413;19/03/2024;terça-feira;18:20:00;MA;135;13;SAO LUIS;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Crescente;Nublado;Dupla;"Aclive;Reta";Sim;2;1;0;0;1;0;0;2;-2,68053538;-44,29512283;SPRF-MA;DEL01-MA;UOP01-DEL01-MA
588414;19/03/2024;terça-feira;18:15:00;RS;158;325;SANTA MARIA;Reação tardia ou ineficiente do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Nublado;Múltipla;"Interseção de Vias;Rotatória";Sim;2;0;0;1;0;1;1;2;-29,7037466;-53,79524635;SPRF-RS;DEL09-RS;UOP01-DEL09-RS
588415;19/03/2024;terça-feira;20:05:00;RS;392;1,4;RIO GRANDE;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Sem Vítimas;Plena Noite;Crescente;Nublado;Dupla;Interseção de Vias;Sim;5;0;0;0;5;0;0;2;-32,04488513;-52,0855305;SPRF-RS;DEL07-RS;UOP02-DEL07-RS
588417;19/03/2024;terça-feira;18:35:00;SC;101;433,1;SOMBRIO;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;"Reta;Interseção de Vias;Retorno Regulamentado";Sim;3;0;0;1;2;0;1;3;-29,08200809;-49,6297237;SPRF-SC;DEL02-SC;UOP02-DEL02-SC
588418;19/03/2024;terça-feira;18:10:00;MG;116;526,1;CARATINGA;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Feridas;Anoitecer;Crescente;Céu Claro;Dupla;Curva;Sim;2;0;2;0;0;0;2;2;-19,77654011;-42,13327989;SPRF-MG;DEL06-MG;UOP02-DEL06-MG
588419;12/03/2024;terça-feira;07:50:00;BA;324;610;SIMOES FILHO;Condutor deixou de manter distância do veículo da frente;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;0;1;1;2;-12,82931703;-38,41113193;SPRF-BA;DEL01-BA;UOP01-DEL01-BA
588420;19/03/2024;terça-feira;19:30:00;RJ;116;310;RESENDE;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Curva;Sim;2;0;1;0;1;0;1;2;-22,45923593;-44,434776;SPRF-RJ;DEL07-RJ;UOP02-DEL07-RJ
588422;19/03/2024;terça-feira;19:15:00;AL;101;166,4;TEOTONIO VILELA;Reação tardia ou ineficiente do condutor;Capotamento;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Dupla;"Reta;Interseção de Vias";Não;1;0;0;1;0;0;1;1;-9,900172;-36,276374;SPRF-AL;DEL02-AL;UOP02-DEL02-AL
588423;19/03/2024;terça-feira;18:50:00;CE;222;18;CAUCAIA;Ausência de reação do condutor;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;"Em Obras;Reta";Não;1;0;0;1;0;0;1;1;-3,74923332;-38,71923964;SPRF-CE;DEL01-CE;UOP01-DEL01-CE
588424;19/03/2024;terça-feira;19:30:00;PR;376;10,5;MARINGA;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Interseção de Vias;Sim;2;0;0;1;1;0;1;2;-23,4273;-51,9375;SPRF-PR;DEL09-PR;UOP01-DEL09-PR
588425;19/03/2024;terça-feira;19:00:00;PA;10;334;SAO MIGUEL DO GUAMA;Ingestão de álcool pelo condutor;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;Não;1;0;1;0;0;0;1;1;-1,51973601;-47,52023905;SPRF-PA;DEL01-PA;UOP02-DEL01-PA
588426;19/03/2024;terça-feira;19:00:00;PI;316;345;FRANCISCO SANTOS;Pedestre cruzava a pista fora da faixa;Tombamento;Com Vítimas Feridas;Plena Noite;Crescente;Nublado;Simples;Reta;Sim;1;0;1;0;0;0;1;1;-7,11853079;-41,16423897;SPRF-PI;DEL04-PI;UOP01-DEL04-PI
